iter	MAE
0	1.182800007
1	1.16821967
2	1.154182113
3	1.140848163
4	1.127893944
5	1.115780503
6	1.102745727
7	1.090799639
8	1.077862058
9	1.065440213
10	1.053516268
11	1.041791801
12	1.030433846
13	1.019467005
14	1.008859158
15	0.9983414106
16	0.9875148826
17	0.9774681239
18	0.9678365067
19	0.9577620027
20	0.9480296444
21	0.9387573506
22	0.9297258446
23	0.9209852649
24	0.9126210688
25	0.9043039766
26	0.8959986222
27	0.8878725374
28	0.8802442787
29	0.8727395061
30	0.8652575276
31	0.857664714
32	0.8504874234
33	0.8432536108
34	0.8365027153
35	0.8299360771
36	0.8240235266
37	0.8182786298
38	0.812721258
39	0.8073691389
40	0.8017964351
41	0.796607739
42	0.791399622
43	0.786342271
44	0.7816091363
45	0.7770505986
46	0.7727983853
47	0.7686210001
48	0.7646526536
49	0.7605481654
50	0.7563821593
51	0.7528328897
52	0.7492578209
53	0.7456718959
54	0.7424886767
55	0.739009433
56	0.7356008534
57	0.7326507295
58	0.7298223651
59	0.7268649957
60	0.7242022362
61	0.7213445168
62	0.7186010055
63	0.7157888643
64	0.7130776041
65	0.7106830838
66	0.7084254945
67	0.7060745866
68	0.7037919979
69	0.7013110367
70	0.6989763677
71	0.6966697182
72	0.6947728683
73	0.692778368
74	0.6907463576
75	0.6890753885
76	0.6873280774
77	0.6856732598
78	0.6838578611
79	0.6821268848
80	0.6805794809
81	0.6787212923
82	0.6771591707
83	0.6755678059
84	0.6739567525
85	0.6726190096
86	0.6711319016
87	0.6696989901
88	0.6684542848
89	0.6670224254
90	0.665571279
91	0.6643309277
92	0.6630137928
93	0.6616690855
94	0.6604249037
95	0.6592682769
96	0.6582354955
97	0.6572973999
98	0.6563121059
99	0.655148924
100	0.6540764116
101	0.6530841874
102	0.6520425927
103	0.6511435093
104	0.650229567
105	0.649282466
106	0.6483861313
107	0.6475082159
108	0.6466545163
109	0.645885849
110	0.6450682687
111	0.6443007111
112	0.6434894289
113	0.6427396556
114	0.6419870893
115	0.6412670406
116	0.6405446403
117	0.6397746187
118	0.6390481372
119	0.6382807551
120	0.6376521632
121	0.6369083738
122	0.6361358961
123	0.6354122959
124	0.6348127361
125	0.6343000486
126	0.6336877305
127	0.6329641248
128	0.6322802643
129	0.6317499985
130	0.6311250309
131	0.6304706899
132	0.6298145015
133	0.6293212098
134	0.6287730344
135	0.6281443501
136	0.6276768679
137	0.6271041706
138	0.6266039264
139	0.6260997205
140	0.6256008091
141	0.6251000567
142	0.6246462328
143	0.6241383484
144	0.6237405846
145	0.6232418025
146	0.6227446433
147	0.6222372899
148	0.6217563447
149	0.6212839986
150	0.6208526786
151	0.6203736068
152	0.6199879062
153	0.6195254473
154	0.6190664138
155	0.6186684609
156	0.6181781265
157	0.6178402436
158	0.6174481431
159	0.617137034
160	0.6168099844
161	0.6164255972
162	0.616106583
163	0.6157865965
164	0.6154067595
165	0.6150453475
166	0.6147376189
167	0.61437344
168	0.6140187361
169	0.6136917205
170	0.6133190657
171	0.6130298747
172	0.6126700679
173	0.6123130785
174	0.6120420306
175	0.6116942034
176	0.611327582
177	0.610976632
178	0.6105983782
179	0.6103102353
180	0.6100812358
181	0.6097565536
182	0.6094536876
183	0.6090985873
184	0.6088019902
185	0.6085307584
186	0.6083245623
187	0.6080673704
188	0.6077787434
189	0.607478632
190	0.6071854442
191	0.6069066109
192	0.6065732071
193	0.6063229286
