iter	Passed	Remaining
0	10	10744
1	20	10105
2	29	9742
3	37	9388
4	45	9116
5	53	8875
6	61	8758
7	69	8626
8	77	8480
9	84	8390
10	92	8340
11	100	8283
12	108	8210
13	116	8190
14	139	9150
15	148	9152
16	157	9081
17	164	8999
18	173	8933
19	183	8980
20	191	8938
21	200	8899
22	208	8836
23	216	8785
24	225	8778
25	233	8744
26	242	8722
27	250	8690
28	258	8664
29	266	8626
30	274	8581
31	292	8835
32	300	8800
33	308	8761
34	316	8724
35	324	8695
36	332	8661
37	340	8629
38	348	8592
39	356	8566
40	364	8533
41	373	8517
42	382	8508
43	390	8484
44	398	8454
45	406	8427
46	414	8399
47	422	8374
48	430	8354
49	438	8335
50	446	8314
51	455	8299
52	463	8286
53	472	8273
54	480	8254
55	488	8233
56	497	8222
57	505	8203
58	513	8190
59	522	8180
60	531	8178
61	540	8170
62	548	8163
63	558	8163
64	566	8153
65	574	8135
66	583	8122
67	591	8108
68	599	8091
69	608	8080
70	616	8065
71	624	8053
72	633	8039
73	641	8027
74	649	8012
75	658	8003
76	666	7990
77	674	7974
78	684	7976
79	693	7974
80	701	7959
81	710	7950
82	719	7949
83	728	7942
84	736	7931
85	746	7935
86	754	7921
87	763	7911
88	773	7916
89	782	7908
90	791	7902
91	799	7893
92	809	7892
93	818	7884
94	827	7881
95	835	7870
96	844	7865
97	853	7858
98	862	7850
99	870	7835
100	878	7823
101	887	7816
102	895	7799
103	904	7792
104	913	7787
105	922	7779
106	931	7771
107	940	7764
108	949	7763
109	957	7747
110	966	7737
111	974	7725
112	983	7717
113	991	7709
114	1000	7700
115	1009	7690
116	1016	7674
117	1024	7661
118	1032	7647
119	1041	7636
120	1049	7626
121	1057	7612
122	1066	7603
123	1074	7593
124	1082	7580
125	1091	7569
126	1100	7564
127	1108	7553
128	1117	7543
129	1125	7530
130	1133	7521
131	1142	7510
132	1150	7502
133	1158	7487
134	1166	7475
135	1174	7462
136	1183	7452
137	1191	7443
138	1200	7435
139	1209	7426
140	1217	7415
141	1225	7404
142	1233	7392
143	1242	7383
144	1250	7370
145	1258	7359
146	1266	7349
147	1274	7338
148	1282	7327
149	1291	7317
150	1299	7308
151	1308	7300
152	1316	7288
153	1324	7278
154	1333	7270
155	1341	7258
156	1350	7250
157	1358	7239
158	1366	7229
159	1374	7217
160	1382	7206
161	1391	7195
162	1415	7268
163	1426	7270
164	1434	7259
165	1442	7248
166	1451	7240
167	1460	7232
168	1468	7221
169	1477	7214
170	1485	7203
171	1493	7191
172	1502	7181
173	1510	7170
174	1518	7159
175	1527	7152
176	1536	7144
177	1544	7134
178	1553	7123
179	1561	7114
180	1569	7104
181	1578	7092
182	1586	7082
183	1594	7071
184	1602	7061
185	1610	7050
186	1619	7039
187	1627	7028
188	1636	7021
189	1645	7015
190	1654	7007
191	1662	6997
192	1671	6987
193	1679	6977
194	1697	7006
195	1705	6995
196	1714	6987
197	1722	6975
198	1730	6965
199	1739	6956
200	1747	6947
201	1756	6938
202	1764	6929
203	1773	6919
204	1782	6911
205	1790	6902
206	1799	6893
207	1808	6885
208	1816	6875
209	1825	6865
210	1834	6858
211	1842	6848
212	1851	6840
213	1860	6832
214	1868	6821
215	1876	6810
216	1884	6801
217	1893	6792
218	1901	6782
219	1910	6772
220	1918	6761
221	1926	6750
222	1934	6738
223	1942	6728
224	1950	6718
225	1959	6709
226	1967	6701
227	1975	6688
228	1982	6675
229	1991	6666
230	1999	6656
231	2007	6647
232	2016	6637
233	2024	6627
234	2033	6619
235	2041	6608
236	2049	6597
237	2057	6587
238	2065	6575
239	2073	6564
240	2080	6552
241	2089	6543
242	2097	6534
243	2105	6524
244	2113	6513
245	2121	6502
246	2129	6493
247	2138	6483
248	2146	6472
249	2154	6463
250	2163	6454
251	2171	6445
252	2179	6435
253	2187	6423
254	2194	6411
255	2202	6400
256	2210	6391
257	2218	6381
258	2226	6370
259	2234	6359
260	2243	6351
261	2251	6341
262	2259	6333
263	2268	6324
264	2277	6316
265	2286	6308
266	2294	6298
267	2302	6290
268	2311	6282
269	2320	6272
270	2328	6264
271	2337	6256
272	2346	6247
273	2354	6237
274	2361	6226
275	2370	6217
276	2378	6208
277	2380	6182
278	2388	6172
279	2396	6163
280	2405	6153
281	2413	6144
282	2422	6137
283	2430	6128
284	2438	6118
285	2446	6108
286	2455	6099
287	2462	6089
288	2471	6081
289	2480	6072
290	2488	6062
291	2496	6053
292	2505	6044
293	2513	6034
294	2520	6024
295	2528	6014
296	2537	6005
297	2545	5996
298	2554	5990
299	2563	5981
300	2571	5972
301	2580	5963
302	2588	5954
303	2596	5945
304	2605	5936
305	2613	5927
306	2622	5919
307	2630	5910
308	2639	5902
309	2648	5894
310	2656	5885
311	2665	5877
312	2673	5868
313	2682	5861
314	2691	5853
315	2699	5843
316	2708	5835
317	2717	5828
318	2725	5818
319	2733	5809
320	2741	5800
321	2749	5788
322	2756	5778
323	2764	5768
324	2772	5758
325	2780	5749
326	2789	5740
327	2798	5732
328	2806	5723
329	2814	5713
330	2821	5703
331	2829	5693
332	2837	5683
333	2844	5672
334	2852	5663
335	2860	5652
336	2867	5642
337	2875	5632
338	2883	5622
339	2891	5612
340	2899	5603
341	2908	5595
342	2916	5585
343	2924	5576
344	2932	5567
345	2939	5556
346	2947	5547
347	2956	5538
348	2964	5529
349	2972	5519
350	2979	5508
351	2987	5499
352	2994	5489
353	3002	5478
354	3010	5468
355	3017	5458
356	3024	5447
357	3032	5438
358	3040	5428
359	3049	5421
360	3058	5413
361	3066	5404
362	3075	5397
363	3084	5389
364	3092	5380
365	3101	5372
366	3109	5363
367	3118	5355
368	3126	5346
369	3135	5338
370	3143	5330
371	3152	5321
372	3161	5313
373	3170	5305
374	3178	5298
375	3187	5289
376	3196	5282
377	3204	5273
378	3214	5266
379	3222	5258
380	3231	5250
381	3240	5243
382	3248	5233
383	3257	5225
384	3265	5216
385	3274	5208
386	3282	5199
387	3291	5192
388	3300	5184
389	3309	5176
390	3318	5168
391	3326	5159
392	3335	5151
393	3343	5142
394	3351	5133
395	3360	5125
396	3368	5116
397	3377	5108
398	3385	5100
399	3394	5091
400	3402	5082
401	3411	5074
402	3420	5066
403	3429	5059
404	3438	5051
405	3447	5044
406	3456	5036
407	3464	5027
408	3472	5018
409	3480	5009
410	3489	5000
411	3497	4991
412	3505	4982
413	3512	4972
414	3520	4963
415	3529	4954
416	3537	4945
417	3545	4937
418	3554	4928
419	3562	4919
420	3570	4910
421	3578	4900
422	3585	4891
423	3593	4881
424	3602	4873
425	3610	4864
426	3618	4855
427	3627	4847
428	3635	4838
429	3643	4829
430	3651	4820
431	3658	4810
432	3667	4802
433	3675	4793
434	3683	4783
435	3691	4774
436	3699	4765
437	3707	4757
438	3715	4748
439	3724	4740
440	3732	4730
441	3739	4720
442	3748	4712
443	3755	4703
444	3764	4694
445	3771	4685
446	3779	4675
447	3786	4665
448	3794	4656
449	3802	4646
450	3809	4637
451	3817	4628
452	3825	4618
453	3833	4609
454	3841	4601
455	3849	4591
456	3857	4582
457	3864	4573
458	3873	4565
459	3881	4556
460	3904	4564
461	3914	4558
462	3923	4550
463	3931	4541
464	3940	4533
465	3948	4525
466	3957	4517
467	3966	4508
468	3974	4500
469	3982	4491
470	3991	4482
471	4000	4474
472	4008	4466
473	4016	4457
474	4025	4448
475	4033	4440
476	4041	4431
477	4050	4423
478	4058	4414
479	4066	4405
480	4074	4396
481	4082	4387
482	4090	4378
483	4099	4370
484	4106	4360
485	4114	4351
486	4123	4343
487	4131	4334
488	4139	4325
489	4147	4316
490	4155	4308
491	4164	4299
492	4172	4291
493	4180	4282
494	4188	4273
495	4196	4264
496	4205	4256
497	4214	4248
498	4222	4239
499	4230	4230
500	4238	4221
501	4246	4212
502	4255	4204
503	4263	4195
504	4272	4187
505	4281	4179
506	4289	4170
507	4297	4162
508	4304	4152
509	4312	4143
510	4320	4134
511	4328	4125
512	4336	4116
513	4344	4108
514	4352	4099
515	4359	4089
516	4367	4080
517	4375	4071
518	4382	4061
519	4390	4052
520	4398	4043
521	4406	4034
522	4414	4025
523	4422	4017
524	4430	4008
525	4438	3999
526	4446	3990
527	4454	3981
528	4462	3973
529	4471	3964
530	4478	3955
531	4486	3947
532	4494	3938
533	4503	3929
534	4511	3921
535	4519	3912
536	4528	3904
537	4536	3895
538	4545	3887
539	4553	3878
540	4562	3870
541	4570	3862
542	4579	3853
543	4587	3845
544	4595	3836
545	4604	3828
546	4613	3820
547	4621	3811
548	4629	3802
549	4636	3793
550	4644	3784
551	4653	3776
552	4660	3767
553	4668	3758
554	4676	3749
555	4683	3740
556	4690	3730
557	4698	3721
558	4705	3712
559	4713	3703
560	4721	3694
561	4728	3685
562	4735	3676
563	4743	3667
564	4751	3658
565	4760	3650
566	4768	3641
567	4776	3632
568	4785	3624
569	4793	3616
570	4802	3608
571	4811	3599
572	4819	3591
573	4827	3582
574	4835	3574
575	4844	3566
576	4853	3558
577	4862	3549
578	4870	3541
579	4878	3532
580	4888	3525
581	4896	3516
582	4904	3508
583	4913	3500
584	4921	3491
585	4931	3483
586	4939	3475
587	4948	3467
588	4956	3458
589	4965	3450
590	4974	3442
591	4982	3433
592	4991	3425
593	5000	3417
594	5008	3409
595	5016	3400
596	5025	3392
597	5033	3383
598	5041	3374
599	5049	3366
600	5058	3358
601	5065	3349
602	5074	3340
603	5082	3332
604	5090	3323
605	5098	3314
606	5107	3306
607	5114	3297
608	5122	3288
609	5129	3279
610	5138	3271
