prof_ID,professor,school,department,state,average_rating,review_count,att_rating,delta
1,A J Senchack,Southwestern University,Business department,TX,3.333333333333333,9,3.2384974922995347,-0.09483584103379838
2,A Osaitile,Volunteer State Community College,Education department,TN,3.65,20,3.6475310712552207,-0.0024689287447792196
4,Aaron Fogel,Boston University,English department,MA,3.763157894736842,19,3.69858372417854,-0.06457417055830206
5,Aaron Kozbelt,Brooklyn College,Psychology department,NY,4.65,20,4.650721703217679,0.0007217032176782823
6,Abi Awomolo,Clark Atlanta University,Political Science department,GA,4.05,10,4.039146046976938,-0.010853953023062246
7,Adele Mueller,St. Thomas University,Sociology department,NB,2.5789473684210527,19,2.6107828072325643,0.03183543881151163
8,Aimee Miller,Millersville University,Chemistry department,PA,3.375,20,3.3880589893250614,0.013058989325061443
9,Akif Uzman,University of Houston Downtown,Chemistry department,TX,3.333333333333333,9,3.3486953196509277,0.015361986317594667
10,Alan Bell,University of Maryland,Languages department,Baltimore,2.611111111111111,18,2.772282953559616,0.1611718424485047
11,Alan Bell,University of Victoria,Fine Arts department,BC,2.96875,16,3.224006619106842,0.25525661910684194
12,Alan Cavaiola,Monmouth University,Psychology department,NJ,4.2368421052631575,19,4.339128019284692,0.1022859140215342
13,Alan Kaminsky,Rochester Institute of Technology,Computer Science department,NY,2.5,20,2.7145168548889256,0.21451685488892558
14,Albert Pyzik,Denison University,Chemistry department,OH,1.9411764705882355,17,1.946612967624758,0.005436497036522603
16,Alexandre Avdulov,Saint Mary\'s University,Languages department,NS,4.2631578947368425,19,4.282528635707157,0.01937074097031477
17,Alfredo Perez-Davila,University of Houston-Clear Lake,Computer Science department,TX,2.95,10,2.963117017366444,0.013117017366443662
20,Allan R Baer,Queen\'s University at Kingston,Medicine department,ON,3.210526315789474,19,3.331084508762826,0.12055819297335191
22,Allen Crocket,The Ohio State University,Fine Arts department,OH,3.772727272727273,11,3.362803205631509,-0.4099240670957638
23,Alvin Snadowsky,Brooklyn College,Psychology department,NY,4.526315789473684,19,4.477953404896593,-0.04836238457709108
25,Amin Ibrahim,University of Texas Rio Grande Valley (all campuses),Chemistry department,TX,3.842105263157895,19,3.8708064859279805,0.028701222770085355
26,Anabelle Cohen,College of Staten Island (CUNY - Staten Island),Biology department,NY,1.5,9,1.4854825667583367,-0.014517433241663324
27,Ananya Mukherjee Reed,York University (all campuses),Political Science department,ON,3.642857142857143,14,3.7944619777748554,0.1516048349177126
29,Andrea Giampetro-Meyer,Loyola University Maryland,Law department,MD,4.675,20,4.675651118610723,0.0006511186107234224
30,Andrea Neves,Sonoma State University,Education department,CA,2.333333333333333,12,2.9343823193014313,0.6010489859680983
31,Andrea O\'Bryan,Eastern Kentucky University,Mathematics department,KY,3.2058823529411766,17,3.138144147243623,-0.06773820569755351
32,Andrea Tyree,Stony Brook University (SUNY),Sociology department,NY,3.5,12,3.7071527286286785,0.2071527286286785
33,Andrea Woody,University of Washington,Philosophy department,WA,4.321428571428571,14,4.324780117468326,0.003351546039755071
34,Andrew Delamater,Brooklyn College,Psychology department,NY,2.95,20,2.963028152326777,0.013028152326776787
35,Andrew Glennon,DePaul University,Mathematics department,IL,2.1052631578947367,19,2.159185211668551,0.053922053773814316
37,Andrew Irvine,University of British Columbia,Philosophy department,BC,4.625,20,4.606853027335139,-0.018146972664861316
38,Andrew Lesk,University of Toronto - St. George Campus,English department,ON,2.05,20,2.2632015698133827,0.2132015698133829
40,Andrew Preston,University of Victoria,History department,BC,4.861111111111111,18,4.852582391249339,-0.00852871986177206
41,Andrzej Czajkowski,University of Ottawa,Physics department,ON,3.5,20,3.5009095396738856,0.0009095396738856287
42,Andy Jones,University of California Davis,English department,CA,4.125,20,4.069022841291913,-0.05597715870808706
43,Andy Katz,Denison University,Political Science department,OH,4.675,20,4.595716670370768,-0.07928332962923168
44,Andy Terry,University of Arkansas at Little Rock,Finance department,AR,2.5,9,2.5148047428993525,0.014804742899352519
45,Angela Mills,Brock University,English department,ON,4.75,12,4.920959773191252,0.17095977319125222
46,Angela O\'Mahony,University of British Columbia,Political Science department,BC,3.733333333333333,15,3.764843119382913,0.03150978604957988
47,Angelica Vessella,Rhode Island College,Fine Arts department,RI,4.45,20,4.508023829124529,0.058023829124528525
48,Anita Girton,Pennsylvania College of Technology,Computer Science department,PA,3.1052631578947367,19,3.100822600319219,-0.004440557575517534
49,Anita Hampton,Georgia State University Perimeter College - Decatur,Biology department,GA,2.208333333333333,12,2.441885324382102,0.23355199104876911
50,Anita Wagman-Iscove,York University- Glendon campus,Hispanic Studies department,ON,2.333333333333333,18,2.261361776068618,-0.07197155726471482
51,Ann Joyce,King\'s College,Communication department,PA,3.4375,8,3.5962607900807506,0.1587607900807506
