prof_ID,professor,school,department,state,average_rating,review_count
1,A J Senchack,Southwestern University,Business department,TX,3.3333333333333335,9
2,A Osaitile,Volunteer State Community College,Education department,TN,3.65,20
4,Aaron Fogel,Boston University,English department,MA,3.763157894736842,19
5,Aaron Kozbelt,Brooklyn College,Psychology department,NY,4.65,20
6,Abi Awomolo,Clark Atlanta University,Political Science department,GA,4.05,10
7,Adele Mueller,St. Thomas University,Sociology department,NB,2.5789473684210527,19
8,Aimee Miller,Millersville University,Chemistry department,PA,3.375,20
9,Akif Uzman,University of Houston Downtown,Chemistry department,TX,3.3333333333333335,9
10,Alan Bell,University of Maryland,Languages department,Baltimore,2.611111111111111,18
11,Alan Bell,University of Victoria,Fine Arts department,BC,2.96875,16
12,Alan Cavaiola,Monmouth University,Psychology department,NJ,4.2368421052631575,19
13,Alan Kaminsky,Rochester Institute of Technology,Computer Science department,NY,2.5,20
14,Albert Pyzik,Denison University,Chemistry department,OH,1.9411764705882353,17
16,Alexandre Avdulov,Saint Mary\'s University,Languages department,NS,4.2631578947368425,19
17,Alfredo Perez-Davila,University of Houston-Clear Lake,Computer Science department,TX,2.95,10
20,Allan R Baer,Queen\'s University at Kingston,Medicine department,ON,3.210526315789474,19
22,Allen Crocket,The Ohio State University,Fine Arts department,OH,3.772727272727273,11
23,Alvin Snadowsky,Brooklyn College,Psychology department,NY,4.526315789473684,19
25,Amin Ibrahim,University of Texas Rio Grande Valley (all campuses),Chemistry department,TX,3.8421052631578947,19
26,Anabelle Cohen,College of Staten Island (CUNY - Staten Island),Biology department,NY,1.5,9
27,Ananya Mukherjee Reed,York University (all campuses),Political Science department,ON,3.642857142857143,14
29,Andrea Giampetro-Meyer,Loyola University Maryland,Law department,MD,4.675,20
30,Andrea Neves,Sonoma State University,Education department,CA,2.3333333333333335,12
31,Andrea O\'Bryan,Eastern Kentucky University,Mathematics department,KY,3.2058823529411766,17
32,Andrea Tyree,Stony Brook University (SUNY),Sociology department,NY,3.5,12
33,Andrea Woody,University of Washington,Philosophy department,WA,4.321428571428571,14
34,Andrew Delamater,Brooklyn College,Psychology department,NY,2.95,20
35,Andrew Glennon,DePaul University,Mathematics department,IL,2.1052631578947367,19
37,Andrew Irvine,University of British Columbia,Philosophy department,BC,4.625,20
38,Andrew Lesk,University of Toronto - St. George Campus,English department,ON,2.05,20
