review_id,prof_ID,rating,review
1,787,5.0,"this class is hard, but its a two in one gen ed knockout, and the content is very stimulating. unlike most classes, you have to actually participate to pass. sections are easy and offer extra credit every week. very funny dude. not much more i can say."
2,787,5.0,definitely going to choose professor looney's class again! interesting class and easy a. you can bring notes to exams so you don't need to remember a lot. lots of bonus points available and the observatory sessions are awesome!
3,787,4.0,i overall enjoyed this class because the assignments were straightforward and interesting. i just didn't enjoy the video project because i felt like no one in my group cared enough to help.
4,787,5.0,"yes, it's possible to get an a but you'll definitely have to work for it. the content is pretty interesting, but you have tog get super organized in this class. you'll have multiple things due every week and a ton lectures to go over. if possible, i'd avoid this class as an 8 week course. you'll definitely always have somethingto do in this class."
5,787,5.0,"professor looney has great knowledge in astronomy, while he can explain them in a super easy way in an elementary class. he taught this class with great passion and great illustration. this class is definitely fun to take. if you are interested in further knowledge that this class won't cover, don't hesitate to ask him. great teacher."
6,787,5.0,"looney is a super funny guy and this class was really interesting. it wasn't a complete blow off, but it wasn't too bad. just do all the homework observation sessions and study a bit the night before exams and you should pull an a. i would definitely recommend him for a science gen ed. there was no text book and no final."
7,787,5.0,"professor looney is the bomb. he is a truly good teacher, and really explains material thoroughly. he is also absolutely hilarious and makes me laugh every class. i would highly recommend him and this course to anyone i am far from a science lover, but this class has helped me enjoy, i repeat, enjoy science!!"
8,787,5.0,"professor leslie looney is honestly amazing. i would call this my first positive experience with a science class! in addition to being truly good at teaching, he makes class interesting. i literally lol almost every period. looney forever!!!"
9,787,5.0,looney is a beast. best professor on campus and this class is extremely interesting. it is the easiest astronomy and physical science class you will find.
10,787,5.0,"the homework, exams, and lab could trip you up if you're expecting a blow off class, but otherwise its great. looney is very enthusiastic and the course is full of interesting content"
11,787,4.5,he is one of the most enthusiastic and off the walls professors you'll ever meet. his grading is very fair. the exams aren't bad considering you can use a notes sheet. there's lots of iclickers so you have to show up to class. there's no book used. take this class its fun and interesting!
12,787,5.0,"sexy boy. killer skies was one of the best classes i've taken. looney kept me excited for class and did presentations effectively and with great humor. highly recommend him in general. online quizzes were tough but given multiple chances. exams are somewhat hard so study. never a dry moment, great guy, great topics. you're gonna have fun. ciao"
13,787,5.0,"excellent professor. hilarious, fun, and good."
