review_id_1,review_id_2,review_1,review_2,Expert Label:
15696,10965,you can tell from class that doctor [name] is definitely a good nurse and knows the information she is teaching. however she is very tough to please in class. her tests are the hardest out of the pre nursing classes. all the answers can be right but you have to pick the one that is the most right. you definitely have to work for your grade.,boring couldn't be more monotone so not funny,1
2287,5787,she is the best [emoji],[instructor] is amazing. she has a lot to bring to the field and makes the information fun to learn along with making the information understandable.,
14748,10857,hes hot! take him if given the chance!,[instructor] is the man! he is the best teacher i have ever had on any level. he is funny knowledgeable open challenging genuinely interested in his students and everything else that you would ever want from a professor. he will quickly learn everyone's name and make them feel at home. do your reading. you will not regret it. he will connect it later.,2
14836,16874,this was a great class. he made us think and come up with ideas that we would never have stumbled upon otherwise. he tackled evolution with a finesse that is admirable in a church school. i learned a lot in a scientific way and still found strengthening in my testimony. highly recommend!,i love [instructor] he is the best... a lot better than [different instructor],1
5417,3548,he's very rude and only wants to talk about how smart he is. it's like being in higschool because you have to show up and he yells if you need to leave early and freaks out if you whisper or your cell phone goes off.,this class was really easy. the workload wasn't high at all. i think some people are just too lazy to do a 10 minute assignment before class. she's a very easy grader and even gives you opportunities to miss assignments without a penalty. you teach the class twice with a group and it's also easy. it doesn't take much planning at all! easy!!!,2
1896,15803,hardest english course i've ever taken. the reading load is heavy you need time management skill or this class will be easy flunk. lazy writers beware you will be punished. worked to the bone for weeks to obtain a b. you'll learn a lot but if you already have a heavy course load i'd save this class for a term with easier classes. this is hard af,no joke i developed a crush on him because he was so passionate about his work his students and the environment. awesome guy! wow. i actually miss attending his lectures...,1
14144,18846,i walked out of this class not learning a thing. he gives pop quizzes so you have to read the books which are so boring. he's funny i actually enjoyed the class. all we did was watch youtube videos. the little work you do have he is such a hard grader and very unclear on the actual assignment all of us were always confused on what he wanted.,i gave you a hot pepper too. i don't know why it didn't show up on here... here have another.,1
7645,4704,i'll never take her class never... [profanity],i am mad as hell and not going to take it anymore!,
12081,4973,amazing. simply simply amazing woman.,i failed com 150 then took professor [instructor]'s evening class and it was great. i thought she was an awesome teacher. she was very specific and detailed in outlining the chapters. very helpful and enthusiastic. she gave great feedback after giving back speeches. easy a or b.,2
3039,17992,doctor [instructor] was a great professor. i've read many negative reviews about him but those must have been the students who were expecting hand outs and did not show for class. doctor [instructor] is fair you must comply when he tells you to show up for class and turn in assignments on time. he helped with test prep and gave extra credit. he was awesome! i'll say!,avoid this teacher. [different instructor] is 100 times better!!,1
12688,16463,his lectures are a bit confusing it's easier to just study on your own. but he is a very lenient grader. quizes are open book and tests are pretty straight forward. not too bad,[instructor]'s awesome. hands down.,1
