clause_id,silver_label
1,misc
2,instructional_effectiveness
3,misc
4,misc
5,misc
6,misc
7,workload
8,workload
9,instructional_effectiveness
10,workload
11,misc
12,workload
13,fairness
14,workload
15,misc
16,misc
17,instructional_effectiveness
18,fairness
19,misc
20,misc
21,workload
22,misc
23,instructional_effectiveness
24,instructional_effectiveness
25,fairness
26,misc
27,instructional_effectiveness
28,instructional_effectiveness
29,workload
30,misc
31,instructional_effectiveness
32,misc
33,misc
34,instructional_effectiveness
35,misc
36,fairness
37,workload
38,misc
39,workload
40,workload
41,workload
42,workload
43,workload
44,misc
45,workload
46,instructional_effectiveness
47,misc
48,misc
49,misc
50,instructional_effectiveness
51,workload
52,workload
53,misc
54,instructional_effectiveness
55,misc
56,instructional_effectiveness
57,misc
58,workload
59,instructional_effectiveness
60,misc
61,misc
62,instructional_effectiveness
63,instructional_effectiveness
64,misc
65,instructional_effectiveness
66,instructional_effectiveness
67,misc
68,workload
69,fairness
70,misc
71,misc
72,misc
73,fairness
74,misc
75,instructional_effectiveness
76,misc
77,misc
78,misc
79,instructional_effectiveness
80,instructional_effectiveness
81,instructional_effectiveness
82,instructional_effectiveness
83,workload
84,workload
85,instructional_effectiveness
86,instructional_effectiveness
87,misc
88,workload
89,instructional_effectiveness
90,instructional_effectiveness
91,misc
92,fairness
93,misc
94,misc
95,instructional_effectiveness
96,workload
97,instructional_effectiveness
98,misc
99,instructional_effectiveness
100,misc
101,workload
102,fairness
103,workload
104,misc
105,misc
106,misc
107,workload
108,fairness
109,misc
110,misc
111,instructional_effectiveness
112,instructional_effectiveness
113,workload
114,instructional_effectiveness
115,instructional_effectiveness
116,instructional_effectiveness
117,instructional_effectiveness
118,misc
119,misc
120,instructional_effectiveness
121,misc
122,misc
123,instructional_effectiveness
124,workload
125,workload
126,instructional_effectiveness
127,misc
128,misc
129,fairness
130,misc
131,instructional_effectiveness
132,instructional_effectiveness
133,misc
134,misc
135,misc
136,misc
137,instructional_effectiveness
138,instructional_effectiveness
139,misc
140,misc
141,misc
142,misc
143,misc
144,instructional_effectiveness
145,instructional_effectiveness
146,misc
147,fairness
148,misc
149,misc
150,workload
151,instructional_effectiveness
152,fairness
153,instructional_effectiveness
154,workload
155,misc
156,misc
157,fairness
158,workload
159,workload
160,misc
161,misc
162,misc
163,fairness
164,workload
165,instructional_effectiveness
166,fairness
167,instructional_effectiveness
168,instructional_effectiveness
169,instructional_effectiveness
170,misc
171,misc
172,instructional_effectiveness
173,instructional_effectiveness
174,misc
175,workload
176,workload
177,fairness
178,workload
179,workload
180,workload
181,workload
182,instructional_effectiveness
183,instructional_effectiveness
184,workload
185,misc
186,instructional_effectiveness
187,instructional_effectiveness
188,misc
189,fairness
190,fairness
191,instructional_effectiveness
192,instructional_effectiveness
193,workload
194,misc
195,workload
196,misc
197,fairness
198,workload
199,instructional_effectiveness
200,workload
201,fairness
202,instructional_effectiveness
203,instructional_effectiveness
204,misc
205,fairness
206,workload
207,instructional_effectiveness
208,misc
209,misc
210,instructional_effectiveness
211,misc
212,misc
213,instructional_effectiveness
214,misc
