$s_a$,$s_b$,Pearson $r$,Spearman $\rho$,Mean $|\Delta_a - \Delta_b|$,Max $|\Delta_a - \Delta_b|$
0.37,0.62,0.9859403665143007,0.9185908562959021,0.05569085380407155,0.6061211701470035
0.37,0.91,0.9670339604667902,0.8038784600332852,0.0835544675943953,0.8116886055451582
0.37,1.0,0.9619220706575722,0.7743851726043961,0.08910418682621998,0.980883761496778
0.37,1.2,0.9523908451870232,0.7210857618846692,0.09819736729925467,1.1436941331594603
0.62,0.91,0.9928497100745968,0.8993401626875067,0.03799881486359879,0.48188406671187867
0.62,1.0,0.9899919588419268,0.8721170522216919,0.0442409308618751,0.6510792226634985
0.62,1.2,0.984193106045907,0.8160187478355421,0.05429632223720688,0.8138895943261808
0.91,1.0,0.998995165309991,0.97235147821825,0.012939385222738815,0.17457293628374604
0.91,1.2,0.9962456412792411,0.9123359701467637,0.025800202904739857,0.33200552761430213
1.0,1.2,0.9979150368594982,0.932413415174862,0.01888802035223991,0.26263747256666914
