target,condition,n,correct,accuracy,confidence,ci_low,ci_high,p_value
consensus_label,Overall,77,64,0.8311688311688312,0.95,0.7322711067008882,0.8985933129172399,1.5118173757871118e-09
consensus_label,Coarse,43,43,1.0,0.95,0.9179901967742088,1.0,1.1368683772161603e-13
consensus_label,Fine,34,21,0.6176470588235294,0.95,0.450410173444307,0.7609981667549109,0.11474050651304424
expert_1,Overall,77,62,0.8051948051948052,0.95,0.7031488665717038,0.8782359907234338,3.041624965035394e-08
expert_1,Coarse,43,38,0.8837209302325582,0.95,0.7552083818991786,0.9492957226019583,1.2497548596002162e-07
expert_1,Fine,34,24,0.7058823529411765,0.95,0.5383109020528556,0.8316536932957757,0.012153255054727197
expert_2,Overall,77,64,0.8311688311688312,0.95,0.7322711067008882,0.8985933129172399,1.5118173757871118e-09
expert_2,Coarse,43,43,1.0,0.95,0.9179901967742088,1.0,1.1368683772161603e-13
expert_2,Fine,34,21,0.6176470588235294,0.95,0.450410173444307,0.7609981667549109,0.11474050651304424
expert_3,Overall,77,62,0.8051948051948052,0.95,0.7031488665717038,0.8782359907234338,3.041624965035394e-08
expert_3,Coarse,43,42,0.9767441860465116,0.95,0.8794100655939282,0.9958829127256662,5.002220859751105e-12
expert_3,Fine,34,20,0.5882352941176471,0.95,0.42221593878812513,0.7363403163612884,0.19576415256597102
