review_id,prof_ID,rating,predicted_aspect,clause_with_score
8959,1180,5.0,instructional_effectiveness,"He was such an amazing professor. [0.49, 0.15, 0.22]"
8959,1180,5.0,instructional_effectiveness,"I learned sooo much from his classes. [0.48, 0.19, 0.31]"
8959,1180,5.0,misc,"He is in touch with our generation and a lot of fun. [0.13, -0.13, -0.0]"
8959,1180,5.0,misc,"I thought he was cute too! [-0.01, -0.01, -0.06]"
8959,1180,5.0,instructional_effectiveness,"He is an amazingly smart historian who values discussion in class. [0.49, 0.25, 0.3]"
1256,856,1.0,instructional_effectiveness,"She is the worst professor that I've ever had at PCC. [0.32, 0.18, 0.21]"
1256,856,1.0,misc,"She can't even answer your questions. [0.09, 0.06, 0.12]"
1256,856,1.0,instructional_effectiveness,"All she does is copy the textbook on the board... [0.35, 0.18, 0.32]"
1256,856,1.0,instructional_effectiveness,"Her lecture is EXTREMELY BORING. [0.41, 0.19, 0.31]"
1256,856,1.0,misc,"Avoid her if possible. [-0.08, 0.0, -0.03]"
5484,1228,3.0,instructional_effectiveness,"You do learn about poetry if that's your thing. [0.2, 0.08, 0.19]"
5484,1228,3.0,instructional_effectiveness,"He has a minor speech defect that sometimes interferes with his lectures which could turn you off to his seminars It didn't bother me. [0.37, 0.11, 0.15]"
5484,1228,3.0,instructional_effectiveness,"Talks a lot about his family in class. [0.41, 0.13, 0.28]"
514,588,5.0,instructional_effectiveness,"Best prof on campus. [0.44, 0.2, 0.22]"
6638,1053,4.5,instructional_effectiveness,"I CANNOT RECOMMEND RACHEL EDELSON MORE HIGHLY! [0.16, 0.05, 0.08]"
6638,1053,4.5,instructional_effectiveness,"IF YOU TRULY CARE ABOUT LEARNING TAKE HER CLASS! [0.36, 0.22, 0.36]"
6638,1053,4.5,workload,"I had the privilege of taking ENG1A at SCC while in high school and it saved me from absolute depression about school. [0.13, 0.24, 0.33]"
6638,1053,4.5,instructional_effectiveness,"In marked contrast to the stultifying English classes at CKM Edelson really engaged and supported our critical thinking and writing. [0.41, 0.28, 0.33]"
6876,990,5.0,instructional_effectiveness,"Great professor! [0.45, 0.14, 0.2]"
6876,990,5.0,instructional_effectiveness,"He was my favorite chemistry teacher. [0.35, 0.09, 0.15]"
6876,990,5.0,instructional_effectiveness,"He is very clear and helpful. [0.47, 0.13, 0.21]"
6876,990,5.0,misc,"I would def take him again if I needed to take organic as I had him also for General Chemistry. [0.12, 0.03, 0.09]"
6876,990,5.0,misc,"I got an A [0.09, 0.12, 0.11]"
17890,999,5.0,instructional_effectiveness,"Awesome AWESOME TEACHER. [0.45, 0.14, 0.22]"
17890,999,5.0,workload,"Ms. Trish Yancey of the Human Enviroment Studies department. [0.14, 0.02, 0.17]"
17890,999,5.0,instructional_effectiveness,"She is an wonderful teacher who has gone above and beyond for her studies. [0.46, 0.19, 0.25]"
17890,999,5.0,instructional_effectiveness,"She is down to earth and supports her students no matter what. [0.25, 0.21, 0.13]"
17890,999,5.0,instructional_effectiveness,"She likes to say bad words in class. [0.32, 0.2, 0.19]"
17890,999,5.0,misc,"No Regrets in ths lady! [0.04, 0.05, 0.01]"
17890,999,5.0,instructional_effectiveness,"Fav Teach! [0.43, 0.14, 0.2]"
15619,1363,2.5,workload,"I am taking this class over the internet. [0.36, 0.25, 0.36]"
15619,1363,2.5,workload,"There are 6 papers a midterm and a final. [0.21, 0.26, 0.37]"
15619,1363,2.5,workload,"As long as you answer all the questions for your paper you will get an A. [0.16, 0.29, 0.31]"
7206,2,4.5,workload,"Not an easy class but if you do the assignments just as he has instructed you to do you will do fine. [0.43, 0.32, 0.51]"
7206,2,4.5,fairness,"If you have questions about his grading just ask him about it. [0.39, 0.61, 0.41]"
7206,2,4.5,instructional_effectiveness,"He deeply cares about his students especially those that care about their education. [0.42, 0.25, 0.26]"
7206,2,4.5,fairness,"Participate in class to get bonus points they really add up at the end of the semester!!! [0.26, 0.46, 0.36]"
9831,417,5.0,misc,"funny [0.12, 0.11, 0.05]"
5690,790,3.0,workload,"Very hard teacher. [0.47, 0.31, 0.5]"
866,487,5.0,instructional_effectiveness,"Great Professor. [0.49, 0.13, 0.18]"
866,487,5.0,instructional_effectiveness,"Info was clear in order and insightful. [0.29, 0.19, 0.26]"
866,487,5.0,instructional_effectiveness,"Very easy to learn from. [0.4, 0.13, 0.32]"
866,487,5.0,workload,"Gives several difficult multiple-choice quizes and drops lowest so you get several chances instead of everything riding on midterm and final. [0.23, 0.33, 0.44]"
866,487,5.0,instructional_effectiveness,"Really nice guy. [0.17, 0.0, -0.0]"
1351,1133,1.0,instructional_effectiveness,"Apart from his hard to understand Jamaican accent. [0.26, 0.07, 0.14]"
1351,1133,1.0,instructional_effectiveness,"He tends to skip topics and trick you on test. [0.4, 0.25, 0.37]"
1351,1133,1.0,fairness,"For ex on one exam multiple choice he didn' tell us that there was more than one answer so while grading he mentioned it and most of the class didn't pass REALLY? [0.27, 0.45, 0.42]"
1351,1133,1.0,misc,"BTW [0.09, 0.03, 0.05]"
1351,1133,1.0,misc,"NO EXTRA CREDIT [0.02, 0.14, 0.09]"
1351,1133,1.0,fairness,"NO REVIEWS GIVEN. [0.12, 0.16, 0.09]"
1351,1133,1.0,instructional_effectiveness,"Beware of this professor it is not helpful [0.5, 0.26, 0.37]"
9328,210,4.0,instructional_effectiveness,"Helpful and willing to discuss assignments in great depth when asked. [0.54, 0.38, 0.46]"
9328,210,4.0,instructional_effectiveness,"Clear and explains all his suggestions when asked. [0.37, 0.2, 0.22]"
9328,210,4.0,instructional_effectiveness,"Great Prof really cares.. [0.33, 0.22, 0.23]"
1439,1274,1.0,instructional_effectiveness,"Sounds like he's a great teacher in the class room however online is the worst grading rubric in the world. [0.47, 0.41, 0.38]"
1439,1274,1.0,workload,"He gave me a 0 for an assignment out of 15 which I did complete in it's entirety. [0.3, 0.35, 0.41]"
1439,1274,1.0,fairness,"Not even one point for trying. [0.06, 0.16, 0.15]"
1439,1274,1.0,instructional_effectiveness,"I would NEVER recommend him for an online class. [0.31, 0.16, 0.2]"
6716,419,4.0,instructional_effectiveness,"Dr. Frank is a great professor! [0.41, 0.13, 0.2]"
6716,419,4.0,instructional_effectiveness,"His lectures tend to be on the boring side but he tries to make it entertaining by throwing in jokes. [0.5, 0.2, 0.29]"
6716,419,4.0,workload,"Tests are easy if you REALLY study the study guides. [0.33, 0.32, 0.58]"
6716,419,4.0,workload,"Always willing to help and work around your schedule. [0.11, 0.13, 0.25]"
6716,419,4.0,workload,"Always writes nice comments and smiley faces on exams if you do well! [0.25, 0.35, 0.42]"
6716,419,4.0,instructional_effectiveness,"He's great! [0.17, 0.03, -0.03]"
2515,890,5.0,instructional_effectiveness,"Very interesting class super fair tests very pleasant professor. [0.49, 0.36, 0.4]"
2515,890,5.0,workload,"Not an easy A but attainable. [0.1, 0.07, 0.22]"
2515,890,5.0,workload,"Go to class and start your journals early and you shouldn't have any trouble passing. [0.26, 0.3, 0.47]"
2515,890,5.0,misc,"Unger seems like a genuinly nice guy. [0.1, 0.0, -0.04]"
15621,1040,3.0,fairness,"Let me preface saying I got a 98 percent in the class. [0.37, 0.48, 0.37]"
15621,1040,3.0,workload,"BUT... it was the hardest I have worked in any class in a long time especially online. [0.32, 0.26, 0.49]"
15621,1040,3.0,instructional_effectiveness,"To get a good grade SUMMARIZE THE BOOK! [0.3, 0.2, 0.28]"
15621,1040,3.0,workload,"If you are willing to put in the time you can do well but taking it in conjunction with other classes is an ill advised move. [0.26, 0.21, 0.37]"
858,487,3.0,workload,"Interesting subject matter but Very boring delivery. [0.28, 0.19, 0.33]"
